20000 999387
6 6715 17
6 7028 44
6 7058 30
6 7122 71
6 7475 8
6 7770 88
6 8005 74
6 8200 96
6 8591 62
6 9198 33
6 9603 29
6 9725 13
6 10421 94
6 10444 15
6 10486 25
6 10696 93
6 11068 71
6 11542 47
6 11548 33
6 11832 96
6 12360 5
6 12427 7
6 12529 1
6 12548 74
6 12616 75
6 12770 40
6 12788 39
6 13715 2
6 13873 67
6 14906 99
6 15314 40
6 15329 98
6 15560 23
6 15791 25
6 16109 84
6 16153 17
6 16315 60
6 16664 11
6 16843 9
6 16966 89
6 17169 20
6 18385 4
6 18772 12
6 19299 68
6 19391 11
6 19931 78
7 1250 91
7 1612 2
7 2540 49
7 3025 20
7 3120 32
7 3310 47
7 3403 60
7 4329 4
7 5709 15
7 5841 78
7 6016 53
7 6205 56
7 6519 30
7 6596 14
7 6810 52
7 6859 95
7 7255 72
7 7442 61
7 8174 66
7 8242 25
7 8370 76
7 9037 29
7 9426 22
7 10191 40
7 10227 99
7 10885 55
7 11185 99
7 11202 94
7 11879 32
7 11886 55
7 11953 23
7 11969 61
7 12423 66
7 12555 87
7 12747 56
7 13010 4
7 13596 29
7 14635 70
7 14730 60
7 15185 73
7 15260 71
7 16061 26
7 16150 8
7 16584 60
7 17103 87
7 17259 89
7 17446 33
7 17710 32
7 18410 76
7 18558 53
7 18798 90
7 18872 69
7 19218 33
7 19883 29
8 631 15
8 687 12
8 916 9
8 1067 49
8 1303 59
8 1766 33
8 2040 92
8 2076 47
8 3161 30
8 3247 70
8 3490 6
8 5344 89
8 5483 38
8 5769 95
8 5968 18
8 7945 29
8 8547 58
8 8896 68
8 9011 39
8 9530 56
8 9545 65
8 9573 32
8 9936 84
8 10662 97
8 10678 31
8 10969 98
8 11518 14
8 11745 39
8 12002 6
8 12281 92
8 12637 75
8 13229 85
8 13255 93
8 13549 44
8 13885 81
8 15261 25
8 15304 27
8 15375 48
8 15681 97
8 16065 12
8 16389 97
8 16585 62
8 16947 32
8 17019 47
8 17699 14
8 18113 53
8 18222 87
8 18251 65
8 18384 41
8 18581 61
8 18650 9
8 18990 34
9 460 39
9 1055 50
9 2128 33
9 3532 96
9 3769 86
9 4034 75
9 4802 96
9 4865 38
9 5058 11
9 5598 73
9 5651 12
9 5699 69
9 5800 49
9 6263 21
9 6371 54
9 6382 65
9 6406 18
9 6424 92
9 6879 11
9 7147 16
9 7823 81
9 8150 98
9 8411 77
9 8801 100
9 9308 56
9 9901 73
9 9931 46
9 10224 15
9 10316 35
9 10770 31
9 11007 17
9 11019 93
9 12530 12
9 12672 14
9 13573 3
9 13635 29
9 14395 18
9 14508 96
9 14553 8
9 14889 95
9 15978 71
9 16017 76
9 17136 15
9 17157 49
9 17299 57
9 17410 35
9 17858 78
9 18318 80
9 18837 5
9 18866 0
9 19268 61
9 19374 74
9 19546 7
9 19584 10
9 19637 70
10 383 4
10 663 16
10 1362 76
10 2062 26
10 2491 16
10 3255 65
10 3293 29
10 3771 57
10 4248 100
10 4317 47
10 4544 9
10 4664 31
10 4781 54
10 5215 98
10 5263 86
10 5349 31
10 5523 30
10 5975 85
10 6002 36
10 6177 75
10 6535 51
10 6835 12
10 6891 65
10 6906 8
10 7468 98
10 7579 37
10 7693 84
10 8267 34
10 8565 75
10 8944 90
10 9366 21
10 9483 9
10 10150 35
10 11123 57
10 11629 61
10 11933 44
10 11958 0
10 12249 75
10 12332 40
10 12786 76
10 13890 59
10 14220 10
10 14371 16
10 14714 89
10 15316 77
10 15473 23
10 15587 23
10 15640 80
10 17134 63
10 17330 21
10 17569 7
10 17756 36
10 17894 64
10 18408 57
10 19077 36
10 19157 9
11 33 99
11 268 41
11 285 67
11 355 37
11 1529 49
11 1584 2
11 1979 83
11 2880 6
11 3027 60
11 3878 38
11 4235 74
11 4934 28
11 5387 32
11 5477 48
11 5770 55
11 5794 58
11 6178 48
11 6267 44
11 6268 24
11 6616 13
11 6662 62
11 7047 12
11 7105 65
11 7243 55
11 8396 60
11 9013 54
11 10128 15
11 10370 60
11 10650 44
11 10962 76
11 11157 41
11 11256 8
11 11915 -2
11 12991 43
11 13461 36
11 13682 6
11 13719 76
11 13950 64
11 14841 89
11 15571 20
11 15647 91
11 15956 43
11 16423 86
11 16638 51
11 16671 9
11 16758 56
11 17370 39
11 17620 70
11 18716 10
11 19400 74
11 19748 28
11 19868 61
11 19884 6
12 280 42
12 295 35
12 379 9
12 464 76
12 801 44
12 1156 1
12 1754 13
12 1973 36
12 2424 53
12 2551 34
12 3134 77
12 3295 70
12 3774 48
12 3806 68
12 3915 17
12 4518 41
12 4584 76
12 5025 62
12 5242 91
12 5978 0
12 6092 29
12 6094 94
12 6631 94
12 7466 85
12 8922 74
12 9163 0
12 9220 94
12 9400 58
12 9678 74
12 10934 92
12 11379 42
12 11806 80
12 12403 60
12 12404 38
12 12537 73
12 13272 80
12 13693 82
12 13918 58
12 14309 85
12 14772 89
12 14965 66
12 15310 53
12 15351 83
12 15546 98
12 15553 36
12 15587 59
12 16033 97
12 16977 18
12 17749 97
12 17805 55
12 17817 10
12 17846 94
12 17985 64
12 18496 23
12 18840 6
12 18894 50
12 19197 84
12 19971 67
13 171 100
13 690 65
13 1488 5
13 1778 39
13 1866 59
13 2087 42
13 2137 62
13 2838 81
13 2849 66
13 3580 91
13 4216 14
13 4918 55
13 5742 52
13 5826 13
13 6866 12
13 7011 96
13 7883 31
13 8214 2
13 8496 33
13 8872 1
13 9223 39
13 9533 77
13 10204 29
13 10374 18
13 10470 89
13 10829 59
13 11899 53
13 12392 36
13 12541 47
13 12580 27
13 12914 53
13 13438 89
13 18205 82
13 18229 69
13 18286 76
13 18413 17
13 18486 60
13 18495 88
13 19505 40
14 87 23
14 420 36
14 948 84
14 1772 46
14 1810 33
14 2703 6
14 2918 29
14 3100 35
14 3257 55
14 4225 14
14 5274 43
14 5298 14
14 5613 22
14 6069 59
14 6712 33
14 6892 75
14 7238 85
14 7374 86
14 7684 19
14 7808 59
14 8031 83
14 8728 72
14 8740 24
14 9031 59
14 9351 81
14 9572 52
14 9758 88
14 9910 3
14 10236 61
14 11029 16
14 11253 28
14 11319 27
14 11547 18
14 11835 95
14 12112 55
14 12227 99
14 13176 98
14 13719 54
14 13792 76
14 13851 37
14 14337 70
14 14366 66
14 14447 19
14 14569 25
14 15043 28
14 16070 96
14 16090 64
14 16257 94
14 16311 79
14 16750 47
14 16790 3
14 16885 74
14 16966 28
14 17504 31
14 17842 81
14 18396 39
14 18984 22
14 19238 73
14 19843 18
14 19867 24
15 86 89
15 996 46
15 2179 15
15 2842 6
15 3142 70
15 3446 100
15 3781 90
15 3890 4
15 3914 33
15 4172 83
15 4592 100
15 4786 30
15 5007 29
15 5728 31
15 7001 14
15 7264 66
15 7685 73
15 7765 58
15 8156 49
15 9295 24
15 9356 89
15 9520 34
15 9550 67
15 10359 16
15 10475 89
15 10927 46
15 11210 40
15 11298 58
15 11550 45
15 12677 32
15 12777 56
15 13011 94
15 13042 68
15 13370 29
15 13490 67
15 13689 87
15 13793 97
15 14107 93
15 14283 34
15 14595 8
15 15434 31
15 15584 5
15 15588 89
15 16115 91
15 16214 24
15 18100 29
15 18323 6
15 18458 55
15 18638 58
15 18708 87
15 19314 28
15 19648 73
15 19864 41
16 266 55
16 331 34
16 595 5
16 998 53
16 1427 83
16 2491 24
16 2941 73
16 3014 14
16 3231 21
16 3290 42
16 3375 47
16 3914 27
16 4526 29
16 6153 13
16 6333 55
16 7434 55
16 7458 24
16 7605 49
16 8072 80
16 8125 27
16 8175 11
16 8705 8
16 8950 41
16 9336 42
16 10176 64
16 10285 50
16 11156 94
16 11629 1
16 11681 46
16 11824 5
16 11901 2
16 11942 10
16 12250 37
16 12252 56
16 12708 45
16 13064 70
16 13391 42
16 13435 14
16 14005 20
16 14431 51
16 14789 4
16 15241 56
16 15351 59
16 15894 76
16 16941 97
16 16966 88
16 17356 86
16 17431 74
16 17634 44
16 17860 58
16 18084 60
16 18255 1
16 18457 37
16 18612 44
16 18735 92
16 18807 68
16 19207 37
16 19945 41
17 903 79
17 1728 57
17 2457 52
17 2533 85
17 3204 86
17 3990 88
17 4180 45
17 4829 73
17 5423 65
17 5625 47
17 6103 12
17 6107 40
17 6204 64
17 6742 77
17 7463 5
17 7788 96
17 7822 85
17 8152 14
17 8225 41
17 8666 27
17 8731 29
17 9493 84
17 10059 83
17 10537 64
17 10736 46
17 11166 95
17 11636 40
17 11755 43
17 12449 70
17 12499 13
17 12718 80
17 12992 41
17 13057 81
17 13387 61
17 13786 6
17 13879 84
17 14851 74
17 15151 50
17 16030 70
17 16141 92
17 16710 50
17 17004 51
17 18406 57
17 18704 64
17 19259 61
17 19271 52
18 204 49
18 273 87
18 618 73
18 728 88
18 1350 60
18 1385 0
18 3689 91
18 3887 30
18 3894 35
18 5288 10
18 5572 2
18 5685 58
18 6021 94
18 6749 90
18 6905 83
18 7219 57
18 7495 41
18 7897 73
18 8248 58
18 8917 18
18 9180 16
18 9258 65
18 9494 34
18 9610 78
18 9689 15
18 9824 13
18 9974 56
18 10897 46
18 11546 83
18 12273 76
18 13155 14
18 13453 76
18 13560 1
18 14071 0
18 14373 11
18 14626 74
18 15336 27
18 16296 57
18 17674 84
18 18127 77
18 18357 -2
18 18516 91
18 18589 80
18 18890 29
18 18902 19
18 19203 95
18 19455 64
18 19561 73
18 19891 98
19 209 50
19 356 94
19 398 91
19 408 0
19 645 44
19 918 74
19 1047 98
19 1623 15
19 2097 38
19 2246 90
19 4289 12
19 5148 12
19 5877 9
19 6155 59
19 7679 70
19 8386 49
19 8562 16
19 8815 13
19 9060 82
19 9390 94
19 10083 48
19 10493 18
19 10877 96
19 11450 36
19 12186 87
19 12238 93
19 12296 59
19 12648 79
19 12650 12
19 13994 8
19 14011 80
19 14411 67
19 14747 67
19 14888 5
19 16162 8
19 16166 42
19 16344 56
19 16448 69
19 17478 35
19 17645 6
19 18206 17
19 18300 61
19 18694 13
19 19058 11
19 19348 3
19 19763 71
20 535 8
20 961 41
20 1097 82
20 1307 76
20 1342 75
20 1695 73
20 1712 10
20 2242 18
20 2502 -1
20 2564 12
20 3020 32
20 3146 28
20 3891 71
20 3970 10
20 5566 4
20 5972 97
20 6132 96
20 7264 54
20 7379 69
20 7690 59
20 7877 37
20 8424 49
20 8500 9
20 8528 96
20 8736 54
20 8809 1
20 8935 66
20 8984 93
20 9135 24
20 10015 73
20 10640 35
20 10714 99
20 10888 9
20 11107 31
20 11545 4
20 11968 16
20 12072 5
20 12101 65
20 12154 48
20 13164 14
20 13546 8
20 13553 1
20 13899 59
20 14423 45
20 14424 78
20 14541 35
20 14840 23
20 15167 39
20 15245 26
20 15785 36
20 15859 60
20 15916 21
20 16525 38
20 17122 86
20 17341 39
20 17797 60
20 18093 66
20 18498 39
20 18569 17
20 18948 18
20 19299 69
20 19473 35
20 19755 93
21 59 52
21 262 95
21 569 51
21 1137 4
21 2193 91
21 4982 77
21 5389 4
21 5822 64
21 6373 5
21 7577 80
21 8108 85
21 8728 40
21 9825 59
21 10183 18
21 10462 27
21 10866 90
21 10990 84
21 12500 4
21 12749 64
21 12966 56
21 13371 3
21 13426 1
21 13683 62
21 13743 22
21 14043 23
21 14698 79
21 14930 20
21 15649 92
21 15882 97
21 16422 45
21 16977 38
21 17460 8
21 18863 83
21 19073 85
21 19393 68
21 19792 67
22 87 88
22 248 54
22 995 5
22 1159 23
22 1478 37
22 1588 88
22 1622 80
22 1748 75
22 1925 95
22 2011 66
22 5493 30
22 6054 94
22 6258 52
22 6421 27
22 6635 58
22 6678 89
22 6805 47
22 6894 43
22 7351 61
22 7402 74
22 8435 34
22 8929 94
22 9362 65
22 9744 30
22 9959 41
22 10439 49
22 11023 72
22 11498 35
22 14213 20
22 14347 96
22 15199 7
22 15361 55
22 15870 4
22 16170 67
22 16773 21
22 17064 0
22 17221 54
22 17266 28
22 17601 4
22 18015 8
22 18429 95
22 18723 26
22 18997 99
22 19989 1
23 383 99
23 1294 66
23 1394 61
23 1694 26
23 2359 43
23 2643 37
23 2826 51
23 2973 84
23 3516 49
23 4161 96
23 4400 56
23 4627 44
23 4677 22
23 4766 79
23 5170 59
23 5482 72
23 5556 72
23 5644 3
23 5797 15
23 5842 65
23 5954 40
23 6072 19
23 7265 13
23 7919 14
23 8091 80
23 8371 99
23 9747 91
23 11509 82
23 12091 50
23 12577 9
23 12593 76
23 12830 88
23 12889 80
23 13173 73
23 13456 9
23 13586 61
23 14256 19
23 14324 79
23 14331 77
23 14896 0
23 15065 45
23 15358 96
23 15502 53
23 16980 84
23 17181 48
23 17985 43
23 18027 52
23 18080 66
24 138 96
24 140 8
24 231 84
24 706 17
24 853 38
24 881 58
24 1291 37
24 1916 46
24 2036 23
24 2364 38
24 3252 6
24 3712 95
24 3846 83
24 4602 12
24 5029 11
24 5259 33
24 5618 59
24 6544 2
24 6971 60
24 7293 32
24 7843 25
24 8832 24
24 8960 69
24 9032 89
24 9349 43
24 10091 4
24 10211 79
24 10371 68
24 10866 93
24 11140 13
24 11545 30
24 11689 32
24 11845 1
24 12019 85
24 12207 45
24 12777 18
24 12801 26
24 13234 92
24 13349 56
24 15155 33
24 15345 19
24 15469 67
24 15988 49
24 16000 65
24 16299 21
24 16726 20
24 16926 9
24 17897 12
24 18497 11
24 19039 13
24 19183 60
24 19822 78
24 19897 82
25 122 33
25 867 9
25 926 2
25 1478 94
25 2087 46
25 2558 11
25 3030 51
25 3552 60
25 4017 89
25 4198 64
25 4249 59
25 4489 94
25 4785 69
25 5060 14
25 5701 68
25 5839 18
25 6021 33
25 6119 26
25 6306 41
25 6587 87
25 8164 1
25 8372 66
25 9145 26
25 9802 62
25 10195 84
25 10428 55
25 11290 91
25 11481 27
25 11492 34
25 11523 73
25 13520 56
25 13930 41
25 14701 11
25 15061 74
25 15173 22
25 15888 29
25 16297 97
25 16793 31
25 16847 37
25 17098 97
25 17746 80
25 17882 32
25 18170 37
25 19221 59
25 19783 41
25 19877 76
26 21 37
26 142 48
26 870 61
26 1309 64
26 1326 98
26 1473 51
26 1879 0
26 2168 22
26 3095 78
26 3119 55
26 3152 72
26 4921 54
26 5709 56
26 6233 51
26 6709 48
26 7065 51
26 7615 54
26 7897 34
26 8687 57
26 8699 73
26 8897 58
26 10172 85
26 10306 74
26 10910 48
26 11250 17
26 11330 37
26 11856 38
26 12773 8
26 13541 83
26 15626 22
26 17749 13
26 17919 96
26 18071 28
26 18077 20
26 18394 82
26 19049 4
26 19119 6
26 19265 36
26 19321 80
26 19607 9
26 19657 79
26 19778 9
27 193 53
27 324 62
27 711 99
27 921 20
27 2211 6
27 2369 0
27 2836 45
27 3477 50
27 3625 78
27 4446 2
27 5375 11
27 5391 69
27 5633 83
27 6048 39
27 6487 78
27 7736 79
27 9099 12
27 10788 13
27 10907 52
27 11217 85
27 11541 1
27 11647 88
27 11963 99
27 12461 57
27 12999 39
27 13270 98
27 13410 41
27 13758 45
27 14784 22
27 15005 31
27 15058 74
27 15515 63
27 15784 42
27 16315 11
27 16433 7
27 16861 53
27 17100 73
27 17814 11
27 18307 25
27 18905 85
28 305 89
28 742 85
28 1866 64
28 1869 73
28 1962 84
28 2128 12
28 2223 86
28 2454 4
28 2464 10
28 3238 25
28 3626 44
28 3635 59
28 3901 58
28 3991 23
28 4552 87
28 5326 48
28 5388 35
28 6212 58
28 6233 10
28 6234 7
28 7075 39
28 7471 86
28 8101 7
28 8566 70
28 9637 2
28 9965 89
28 10083 100
28 10209 54
28 11015 70
28 11411 1
28 11893 46
28 12325 77
28 12726 58
28 12764 0
28 13114 95
28 13285 39
28 14225 7
28 14384 42
28 14596 85
28 14712 70
28 15537 82
28 16792 100
28 17292 96
28 17723 48
28 18445 63
28 19522 25
28 19747 57
29 1479 56
29 1858 79
29 2277 12
29 2330 58
29 2538 47
29 4029 22
29 4307 37
29 4361 93
29 4525 72
29 5050 11
29 5297 40
29 5796 55
29 5974 63
29 6549 37
29 8133 92
29 9094 50
29 9724 83
29 9798 47
29 10179 35
29 10267 71
29 10940 29
29 11283 69
29 11994 85
29 12225 67
29 12349 62
29 12482 8
29 12794 6
29 12835 86
29 13018 21
29 13822 87
29 14148 91
29 14812 86
29 14847 26
29 15058 66
29 15206 10
29 15340 92
29 16188 73
29 17214 66
29 17239 48
29 17597 70
29 18021 8
29 19274 25
29 19455 1
29 19501 12
29 19522 43
29 19528 80
29 19538 56
30 1126 10
30 1886 59
30 2030 85
30 2189 68
30 2209 96
30 2260 53
30 2412 86
30 2698 97
30 2959 32
30 3074 65
30 3144 32
30 3200 20
30 3672 26
30 3899 70
30 4573 84
30 4941 81
30 5163 78
30 6792 21
30 7171 7
30 8818 12
30 8864 47
30 9124 29
30 9327 65
30 9584 84
30 9747 52
30 10933 73
30 11610 96
30 11732 99
30 13181 71
30 13340 71
30 14736 13
30 15582 61
30 15602 19
30 15680 47
30 16007 32
30 16232 72
30 16335 97
30 16437 19
30 16888 18
30 16996 100
30 17053 92
30 17930 93
30 18028 20
30 18081 85
30 18481 85
30 19516 81
30 19590 9
30 19783 0
31 726 67
31 760 50
31 828 59
31 1001 37
31 1047 84
31 2080 89
31 2713 90
31 3471 6
31 4395 48
31 4702 66
31 4886 51
31 5136 18
31 5365 61
31 5787 98
31 6602 87
31 6920 3
31 7388 7
31 8074 18
31 8101 67
31 8543 17
31 8779 46
31 8803 25
31 9258 89
31 9308 12
31 9311 95
31 9588 67
31 9599 64
31 9994 43
31 10620 76
31 11228 33
31 11487 69
31 11831 7
31 11854 18
31 13145 31
31 13481 8
31 14014 33
31 14573 55
31 15189 92
31 15330 31
31 15373 55
31 15812 23
31 16156 98
31 16223 67
31 17626 12
31 18466 57
31 19959 76
32 262 99
32 268 23
32 1420 14
32 2180 58
32 2337 12
32 3298 54
32 3317 99
32 3428 19
32 4376 59
32 6094 89
32 6395 89
32 7419 18
32 7665 28
32 7835 30
32 8389 18
32 8935 20
32 9362 70
32 9443 52
32 9577 98
32 9793 30
32 10403 57
32 11139 6
32 11756 2
32 12178 86
32 12234 21
32 12624 78
32 12687 58
32 12705 97
32 12873 27
32 14063 50
32 14142 97
32 14647 66
32 14707 61
32 14963 91
32 16008 97
32 16517 98
32 16588 49
32 17100 19
32 17769 7
32 18304 50
32 18631 52
32 18823 79
32 19261 71
32 19528 51
32 19755 41
33 843 83
33 963 46
33 1534 7
33 1540 6
33 2383 67
33 2607 3
33 2820 33
33 3090 35
33 3378 57
33 3485 85
33 3545 47
33 3828 92
33 4057 13
33 4135 59
33 4402 50
33 4612 83
33 5268 86
33 5505 64
33 5577 79
33 5604 30
33 5667 42
33 6153 78
33 6866 54
33 6994 63
33 7402 80
33 7584 81
33 7707 57
33 8734 89
33 8761 22
33 8788 93
33 8913 98
33 8923 36
33 9490 37
33 10117 29
33 10155 78
33 10583 22
33 10609 51
33 11633 69
33 11934 20
33 11950 11
33 12441 96
33 13299 83
33 13427 42
33 13503 19
33 13645 82
33 14051 70
33 14268 84
33 14290 58
33 14603 37
33 14810 70
33 15186 9
33 15193 37
33 15380 71
33 16184 8
33 16362 81
33 16488 28
33 16582 66
33 16801 49
33 16828 63
33 17467 99
33 17587 54
33 17654 14
33 17675 57
33 18104 34
33 18267 47
33 18269 2
33 18760 46
33 18816 94
33 18960 25
33 19604 84
33 19689 6
34 50 67
34 485 17
34 1045 50
34 1548 38
34 2247 12
34 2442 59
34 2577 39
34 2672 64
34 3250 32
34 3318 2
34 3650 8
34 3769 43
34 3898 87
34 4431 51
34 4588 96
34 5354 49
34 5451 0
34 5759 79
34 5780 2
34 6282 79
34 6662 71
34 6719 64
34 7033 39
34 7964 3
34 8200 61
34 8333 61
34 8954 47
34 9019 89
34 9417 55
34 9809 0
34 10766 53
34 10797 53
34 11484 97
34 12044 75
34 12303 2
34 12663 90
34 12909 81
34 13461 5
34 14248 42
34 16142 18
34 16401 57
34 16761 60
34 17324 29
34 18385 85
34 19286 42
34 19477 99
35 48 25
35 320 42
35 386 51
35 536 53
35 1050 75
35 1167 100
35 1333 77
35 1618 68
35 1721 69
35 2093 75
35 2236 82
35 2629 15
35 2873 42
35 4053 4
35 4570 94
35 4803 58
35 5040 86
35 5045 0
35 6334 73
35 6747 36
35 6823 34
35 6901 79
35 7251 76
35 7427 34
35 7612 89
35 8129 48
35 8602 52
35 8809 63
35 9006 55
35 9168 86
35 9380 93
35 10504 90
35 10734 82
35 11455 16
35 12059 92
35 12581 40
35 13239 20
35 13449 86
35 13539 92
35 15158 56
35 15668 36
35 16076 8
35 16101 26
35 16302 27
35 16750 90
35 16878 6
35 17299 38
35 17427 9
35 17679 3
35 17913 92
35 18014 91
35 18684 77
35 18720 0
35 18768 32
35 19483 67
35 19555 89
35 19768 98
35 19852 4
36 582 8
36 1048 23
36 1624 72
36 1704 29
36 1867 54
36 2654 24
36 2957 45
36 4516 48
36 4632 58
36 5432 9
36 5730 29
36 5754 45
36 5909 10
36 5968 91
36 6043 63
36 6157 4
36 6477 19
36 6739 88
36 7303 5
36 9051 15
36 9781 54
36 9804 23
36 10016 74
36 10763 44
36 11761 81
36 11904 76
36 11931 7
36 12515 29
36 13124 31
36 13228 43
36 13316 10
36 13999 78
36 14236 52
36 14912 58
36 15115 62
36 15259 31
36 15310 41
36 15755 45
36 15964 61
36 17701 36
36 17788 35
36 17831 95
36 18120 53
36 18355 27
36 18811 19
36 19475 72
36 19806 76
37 349 50
37 591 72
37 778 27
37 801 8
37 1372 74
37 1714 10
37 1863 32
37 2139 39
37 3359 19
37 3367 51
37 3468 79
37 3610 78
37 3896 37
37 4772 76
37 4857 9
37 5272 90
37 5386 86
37 5622 94
37 6136 97
37 6400 15
37 6657 100
37 6735 33
37 6892 1
37 7792 97
37 7958 12
37 8025 55
37 8529 76
37 9153 55
37 9557 22
37 10246 0
37 10431 53
37 10459 86
37 10597 21
37 11026 28
37 11859 76
37 11861 53
37 12321 48
37 12797 57
37 13115 5
37 13169 93
37 13693 85
37 15384 71
37 16287 64
37 17442 98
37 17804 52
37 18246 97
37 18302 66
37 18728 63
37 19355 81
37 19807 21
37 19941 63
38 464 88
38 855 18
38 936 15
38 1341 10
38 2498 74
38 2618 79
38 2657 87
38 3036 59
38 3883 26
38 4527 64
38 5974 83
38 6993 24
38 7015 80
38 7180 20
38 7615 10
38 7921 5
38 8324 18
38 8365 93
38 8644 35
38 8838 71
38 9335 19
38 9741 48
38 11230 89
38 11383 48
38 12312 84
38 12790 95
38 13088 87
38 13385 59
38 13399 7
38 13401 51
38 13415 59
38 14306 91
38 14372 36
38 14458 82
38 15669 31
38 15799 94
38 15905 2
38 16021 72
38 16198 83
38 16275 65
38 16583 40
38 16735 31
38 16863 42
38 16915 36
38 17053 91
38 17064 44
38 17162 7
38 17382 40
38 17527 90
38 18061 73
38 18374 53
38 18461 20
38 18818 54
38 18958 16
38 19063 91
38 19072 13
38 19208 74
38 19256 15
38 19414 11
38 19782 49
38 19943 91
39 103 61
39 294 41
39 417 35
39 923 95
39 961 95
39 1047 39
39 1608 22
39 1814 7
39 1847 94
39 2306 84
39 2357 97
39 2584 66
39 2851 92
39 2926 97
39 3033 81
39 3346 49
39 3787 83
39 4331 5
39 4380 93
39 4450 3
39 5309 11
39 5335 49
39 5372 78
39 6061 29
39 6087 68
39 6201 21
39 6687 14
39 6985 79
39 7069 61
39 7551 79
39 8658 98
39 8874 29
39 9519 25
39 9542 64
39 9583 20
39 9648 98
39 10078 13
39 11973 74
39 12090 73
39 12461 37
39 13847 17
39 14261 46
39 15271 52
39 15321 43
39 15341 81
39 15955 26
39 16857 24
39 16886 22
39 18575 60
39 18995 9
39 19112 78
39 19447 44
40 199 99
40 1666 12
40 1906 61
40 2754 89
40 3172 82
40 3447 12
40 4026 4
40 4440 93
40 4662 23
40 5155 5
40 5411 70
40 5754 2
40 5779 45
40 6753 93
40 6886 74
40 7537 26
40 7663 96
40 8392 18
40 8563 74
40 8630 92
40 9896 24
40 10094 78
40 10811 32
40 10956 15
40 11466 55
40 11654 11
40 13852 94
40 14207 6
40 14724 34
40 17835 6
40 18004 67
40 18042 56
40 18251 100
40 18919 62
40 18969 17
41 162 0
41 1049 67
41 1298 41
41 1306 36
41 1345 38
41 1365 80
41 1370 50
41 2817 55
41 3519 4
41 3909 45
41 4358 65
41 5579 71
41 5719 4
41 5990 72
41 6859 37
41 6874 37
41 7038 49
41 7876 39
41 7898 40
41 8029 65
41 8069 88
41 8852 52
41 9080 24
